Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
"Fexofenadine is a member of the antihistamine or anti-allergic class of drugs. It is mostly used to treat various allergies. Fexofenadine, a selective peripheral H1-blocker, can be used to treat medical conditions. The active ingredient in fexofenadine is fexofenadine, a non-drowsy antihistamine. Although some people still complain of feeling drowsy after taking it, it is used to treat allergies because it blocks the action of histamine, a chemical commonly associated with allergic reactions.",Fexofenadine,,Allergy,,Antihistamine / Anti-allergic,"Fexofenadine, antihistamines, allergies, histamines, H1-blockers"
"Avoid taking fexofenadine with fruit juices such as apple, orange, or grapefruit. The interaction between fexofenadine and these juices can affect the absorption and effectiveness of the medication, so it is best to take it with water or as directed by your healthcare provider.",Fexofenadine,,,,Antihistamines,"Fexofenadine, fruit juice, absorption, efficacy"
"Side effects of fexofenadine may include headache, drowsiness, dry mouth, feeling sick and dizzy, cough, fever or stomach pain, pain, difficulty hearing and ear discharge.",Fexofenadine,"Brain, mouth, ears",,,Antihistamines,"Side effects, headache, drowsiness, dry mouth, dizziness, cough"
"In general, fexofenadine is very safe. It is unlikely that taking more than your regular dose will harm you. However, if you take too much, you may experience some common side effects. If this happens or you are concerned, you should talk to your doctor. If the patient falls, has a seizure, has difficulty breathing or cannot be woken up, contact your nearest hospital immediately.",Fexofenadine,,,,Antihistamines,"Fexofenadine, side effects, doctor's advice"
Amoxicillin is a penicillin-based antibiotic (amino-penicillin) that helps fight bacterial infections. It is one of the most commonly used antibiotics in primary care settings and is active against a wide variety of gram-positive bacteria and some gram-negative bacteria as well.,Amoxicillin,,Bacterial infection,,Amino-penicillin,Antibiotics
"The drug azithromycin belongs to a group of drugs called macrolide antibiotics, which work by killing bacteria that cause infections. Azithromycin is intended to treat infections caused by bacteria, including but not limited to respiratory tract infections, skin and soft tissue infections, sexually transmitted diseases, and even certain types of pneumonia.",Azithromycin,"Skin, respiratory system",Pneumonia,,Macrolide antibiotics,"Antibiotics, infections"
"Albendazole, a potent antiparasitic drug, has attracted attention for its effectiveness in treating a variety of worm infections. This versatile drug can affect both intestinal and tissue parasites.",Albendazole,,Worm infestation,,Antiparasitic,"Medicine,"
"Chlorpheniramine is an antihistamine drug used to treat a variety of allergic reactions, including seasonal allergies, allergic rhinitis, hives, and allergic conjunctivitis. It works by blocking the effects of histamine, a chemical that causes allergic reactions in the body. Chlorpheniramine is also effective in treating common cold symptoms such as sinus infections and sneezing.",Chlorpheniramine,"Nose, eyes","Allergy, sneezing",,Antihistamines,
"Diclofenac is a non-steroidal anti-inflammatory drug (NSAID). It is meant to relieve pain and reduce inflammation by eliminating the underlying causes or triggers of pain in the body. It can be given orally, intravenously (into a vein), rectally (through the anus), or injected subcutaneously (under the skin). It works by inhibiting prostaglandin enzymes, which cause pain and inflammation.",Diclofenac,Skin,"Inflammation, pain",,Non-steroidal anti-inflammatory drugs,Painkillers
"Diclofenac can cause various allergic reaction symptoms, such as difficulty breathing, swelling of the mouth and throat, or severe skin reactions (skin pain, blisters, peeling, and skin rash).",Diclofenac,"Mouth, throat, skin","Skin pain, blisters",,,Painkillers
All Diclofenac medications should be stored at room temperature and away from direct heat and light to prevent spoilage. Do not store the medication in the refrigerator.,Diclofenac,,,,,Medicine
"Esomeprazole, a powerful drug, has revolutionized the treatment of gastric problems. This remarkable drug helps in treating a range of gastric disorders such as gastroesophageal reflux disease (GERD) and stomach ulcers.",Esomeprazole,,"Gastric, ulcer",,,
Take esomeprazole at the same time every day. Follow the prescription or package directions carefully. Avoid exceeding the prescribed dose or duration.,Esomeprazole,,"Gastric, ulcer",,,
"Ceclo is a substituted benzimidazole-type drug, which acts as an inhibitor of gastric acid secretion. It inhibits gastric acid secretion by inhibiting the hydrogen-potassium-adenosine triphosphatase enzyme system (H+/K+ ATPase) of gastric parietal cells. After oral administration, the antacid activity of Ceclo begins within 1 hour, peaks within 2 hours and lasts up to 72 hours. When it is discontinued, acid secretion returns to normal within 3-5 days.",Century,Face,Gastric,Hydrogen-potassium-adenosine triphosphatase enzyme,Benzimidazole,
Omeprazole is used to control inflammation.,Omeprazole,,Inflammation,,,
"Aspirin is used to control pain. It primarily affects the muscles. Classified as an antibiotic, it is prescribed based on the patient's condition and medical history.",Aspirin,,Pain,Estrogen,Antibiotics,Dosage
Amoxicillin is a penicillin-based antibiotic that helps fight bacterial infections.,Amoxicillin,,Bacterial infection,,Antibiotics,
Amoxicillin is only effective against bacterial infections and not viral diseases.,Amoxicillin,,,,,
Amoxicillin is prescribed for patients with chest infections or ear infections.,Amoxicillin,"Chest, ears","Chest infection, ear infection",,,
Amoxicillin is not an over-the-counter medication and can only be purchased with a doctor's prescription.,Amoxicillin,,,,,Prescription
Amoxicillin works by inhibiting the action of the proton pump in the stomach lining.,Amoxicillin,Stomach,,,,
"Amoxicillin is used to treat infections such as pharyngitis, sinusitis, and pneumonia.",Amoxicillin,"Throat, nose, lungs","Pharyngitis, sinusitis, pneumonia",,,
"Amoxicillin is available in the form of injections and oral tablets, liquids, etc.",Amoxicillin,,,,,"Injections, tablets"
Amoxicillin as a liquid medicine for children should be shaken well before use.,Amoxicillin,,,,,
Drink plenty of fluids while taking amoxicillin.,Amoxicillin,,,,Antibiotics,
People who are allergic to penicillin or other penicillin antibiotics should not take amoxicillin.,Amoxicillin,,Allergy,,,
"Side effects of amoxicillin include skin blisters, bloody nose, and headache.",Amoxicillin,"Skin, nose, head",Headache,,,
" Amoxicillin should be taken at the same time every day, with a minimum of 4 hours between doses.",Amoxicillin,,,,,Dosage
The use of amoxicillin may cause an allergic reaction such as a rash or swelling of the face.,Amoxicillin,"Skin, face"," Allergy, rash, swelling of the face",,,
"Overdose of amoxicillin can cause vomiting, diarrhea, and seizures.",Amoxicillin,,"Vomiting, diarrhea, seizures",,,
Store amoxicillin at room temperature and away from moisture and sunlight.,Amoxicillin,,,,,
Amoxicillin should not be taken with blood thinners or anticoagulants.,Amoxicillin,,,,,
"It is safe to take amoxicillin during pregnancy, but a doctor's advice should be sought.",Amoxicillin,,,,Antibiotics,
Do not use aceclofenac with other medications such as strontium or coumarin.," Aceclofenac Coumarin, Strontium",,,,,
"Aceclofenac belongs to the category of non-steroidal anti-inflammatory drugs (NSAIDs). This medicine is prescribed for chronic inflammation and pain in the bones or joints. It works by blocking the effect of an enzyme in the body known as ""cyclooxygenase (COX)"", which reduces the release of prostaglandins and reduces swelling, pain and inflammation.",Aceclofenac,,"Chronic inflammation, pain",Prostaglandins,"Non-steroidal anti-inflammatory drugs, cyclooxygenase",Drugs
Consult your doctor before taking other medicines such as paracetamol or NSAIDs with aceclofenac.,"Aceclofenac, paracetamol",,,,Non-steroidal anti-inflammatory drugs (NSAIDs),
"Taking an overdose of aceclofenac can cause serious kidney or liver problems, so it is important to exercise caution.",Aceclofenac,"Kidney, liver",,,,
The exact dosage and usage instructions for Aceclofenac should be obtained from your doctor.,Aceclofenac,,,,,"Doctor, dose"
"Do not use blood thinners such as warfarin with aceclofenac, as this can cause serious side effects.",Aceclofenac,,,,,Warfarin
"Aceclofenac is commonly used for osteoarthritis, rheumatoid arthritis, ankylosing spondylitis.",Aceclofenac,,"Osteoarthritis, rheumatoid arthritis",,,
"Aceclofenac can be effective very quickly, usually showing effects within one day to one week.",Aceclofenac,,,,,
"Do not use aceclofenac during pregnancy, as it may be harmful to the unborn baby.",Aceclofenac,,,,,Pregnancy
"If you miss a dose of aceclofenac, take it as soon as possible, but avoid taking it when it is time for your next dose.",Aceclofenac,,,,,"Dosage, relief"
"If you experience vomiting or constipation while taking aceclofenac, contact your doctor.",Aceclofenac,,,,,Doctor
"Side effects of aceclofenac may include vomiting, diarrhea, and constipation.",Aceclofenac,,"Vomiting, diarrhea, constipation",,,Side effects
Avoid taking aceclofenac on an empty stomach. Take aceclofenac with food or milk.,Aceclofenac,,,,,
"Atropine is a tropane alkaloid that is commonly used to reduce pain and inflammation. It is also effective in reducing body temperature. It works by inhibiting enzymes that cause inflammation, fever, and pain. Atropine is classified as an anticholinergic drug, meaning it blocks the action of acetylcholine, a neurotransmitter that plays an important role in various bodily functions.",Atropine,,"Pain, inflammation, fever",,Anticholinergic,
"If you miss a dose of Atropine, you can take it when you remember. However, if the next dose is due soon, you should skip the missed dose. Taking a double dose, in any case, is not recommended to make up for the missed dose.",Atropine,,,,,"Dose, double dose, missed dose"
"An overdose of atropine can cause rapid heartbeat, dry mouth and skin, dilated pupils, flushed or dry skin, fever or hyperthermia, difficulty urinating or urinary retention, confusion or delirium, hallucinations, seizures, unconsciousness, and other health-related complications.",Atropine,"Skin, heart",Hyperthermia,,,
"Store atropine in a cool, dry place away from heat, light, and moisture. Also, keep them out of reach of children.",Atropine,,,,,
"Atropine can cause a variety of side effects, including dry mouth, blurred vision, constipation, urinary retention, flushing, and confusion.",Atropine,,,,,
"Atropine can be used to treat bradycardia (slow heart rate), excessive salivation or defecation, and as an antidote to certain types of poisoning and nerve agent exposure.",Atropine,Stomach,Bradycardia,,,
"Atropine can be given in a variety of ways, including orally, intravenously (IV), or intramuscularly (IM), depending on the medical situation and the healthcare provider's instructions.",Atropine,,,,,
"Side effects of atropine may include dry mouth, blurred vision, constipation, and increased heart rate. These side effects are usually mild and temporary.",Atropine,,"Dry mouth, blurred vision, constipation",,,
"Azithromycin is a macrolide antibiotic used to treat various bacterial infections, such as pneumonia, bronchitis, skin infections, ear infections, etc.",Azithromycin,"Lungs, skin, ears","Pneumonia, bronchitis, skin infections, ear infections",,Macrolides,
"Azithromycin is available in the form of tablets, capsules, and liquid suspension. The dosage and method of administration depend on the type and severity of the infection. Typically, adults are prescribed 250 to 500 mg tablets every 24 hours.",Azithromycin,,,,,
"Some common side effects of azithromycin are nausea, vomiting, diarrhea, stomach pain, and headache.",Azithromycin,Stomach,,,,
"Azithromycin dihydrate is indicated for the treatment of infections caused by susceptible organisms such as respiratory tract infections including bronchitis and pneumonia, skin and soft tissue infections, upper respiratory tract infections including otitis media, sinusitis, pharyngitis and tonsillitis. It is also indicated for uncomplicated genital infections caused by Chlamydia trachomatis and typhoid fever.",Azithromycin,Skin,"Bronchitis, pneumonia, typhoid fever, sinusitis, pharyngitis, tonsillitis",,,
Azithromycin is an azalide antibiotic that is effective against gram-positive and gram-negative microorganisms.,Azithromycin,,,,Azalide antibiotic,
"If you miss a dose of azithromycin, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Azithromycin,,,,,
"Taking an overdose of azithromycin can cause serious side effects such as liver damage, irregular heartbeat, and hearing loss.",Azithromycin,"Liver, heart, ears",,,,
"Store azithromycin in a cool, dry place, away from light and moisture. Keep out of the reach of children.",Azithromycin,,,,,
"Azithromycin is a macrolide antibiotic that works by inhibiting bacterial protein synthesis. It is effective against a wide range of bacteria, including gram-positive and gram-negative bacteria, and some other microorganisms. It is used to treat respiratory infections, skin infections, sexually transmitted diseases, and other infections.",Azithromycin,,"Respiratory infections, skin infections, sexually transmitted diseases",,Macrolides,
"Loratadine is an antihistamine used to reduce allergy symptoms such as sneezing, itching, watery eyes, and runny nose.",Loratadine,,Allergy,Histamine,Antihistamine,
"Loratadine is available in tablet, capsule, and syrup forms. The dosage and method of administration depend on the patient's age and the severity of the allergy.",Loratadine,,,,,
"Some common side effects of loratadine are headache, drowsiness, dry mouth, and fatigue.",Loratadine,,,,,
Sedating antihistamines make you less likely to fall asleep than older people.,Loratadine,,,,Antihistamine,
"If you miss a dose of loratadine, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Loratadine,,,,,
"Loratadine overdose can cause serious side effects such as blurred vision, confusion, hallucinations, and seizures.",Loratadine,,,,,
"Store loratadine in a cool, dry place, away from light and moisture.",Loratadine,,,,,
"Loratadine is an antihistamine that works by blocking the action of histamine in the body. Histamine is a chemical that causes allergy symptoms such as sneezing, itching, watery eyes, and runny nose. Loratadine helps reduce these symptoms.",Loratadine,,Allergy,Histamine,Antihistamine,
"Cetirizine is an antihistamine used to reduce allergy symptoms such as sneezing, itching, watery eyes, and runny nose.",Cetirizine,,Allergy,Histamine,Antihistamine,
"Cetirizine is available in tablet, capsule and syrup form. The dosage and method of administration depend on the patient's age and the severity of the allergy.",Cetirizine,,,,,
"Some common side effects of cetirizine are drowsiness, dry mouth, sneezing or blocked and runny nose.",Cetirizine,,,,,
"Cetirizine may interact with certain substances, increasing the chance of possible side effects or changing its effectiveness.",Cetirizine,,,,,
"If you miss a dose of Cetirizine, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Cetirizine,,,,,
"Taking too much cetirizine can cause serious side effects such as blurred vision, confusion, hallucinations, and seizures.",Cetirizine,,,,,
"Store Cetirizine in a cool, dry place, away from light and moisture.",Cetirizine,,,,,
"Cetirizine is an antihistamine that works by blocking the action of histamine in the body. Histamine is a chemical that causes allergy symptoms such as sneezing, itching, watery eyes, and runny nose. Cetirizine helps reduce these symptoms.",Cetirizine,,Allergy,Histamine,Antihistamine,
"Doxycycline is a tetracycline class antibiotic used to treat various bacterial infections, such as acne, urinary tract infections, respiratory infections, sexually transmitted diseases, etc.",Doxycycline,"Skin, respiratory system","Acne, urinary tract infections, respiratory infections, sexually transmitted diseases",,Tetracycline,
"Doxycycline is available in tablet, capsule and liquid suspension form. The dosage and method of administration depend on the type and severity of the infection. Usually, adults are prescribed 100 mg tablets every 12 hours.",Doxycycline,,,,,
"Some common side effects of doxycycline are nausea, diarrhea, hoarseness, back pain, pale skin, vomiting, itching, dry mouth, anxiety, loss of appetite.",Doxycycline,,,,,
Tetracycline is another medication that can be taken in place of doxycycline.,"Tetracycline, doxycycline",,,,,
"If you miss a dose of doxycycline, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Doxycycline,,,,,
" Taking an overdose of doxycycline can cause serious side effects such as headache, joint pain, chest pain, shortness of breath, unusual bleeding,",Doxycycline,"Liver, pancreas",,,,
"Store doxycycline in a cool, dry place, away from light and moisture.",Doxycycline,,,,,
"Doxycycline is a tetracycline class antibiotic that works by inhibiting bacterial protein synthesis. It is effective against a wide range of bacteria, including gram-positive and gram-negative bacteria, and some other microorganisms.",Doxycycline,,,,Tetracycline,
Lansoprazole is a proton pump inhibitor (PPI) that is used to treat GERD and ulcers by reducing acid production in the stomach.,Lansoprazole,Stomach,"GERD, ulcers",Gastrin,Proton pump inhibitors (PPIs),
"Lansoprazole is available in capsule, tablet and injection form. The dosage and method of administration depend on the patient's age, weight and severity of the disease.",Lansoprazole,,,,,
"Some common side effects of lansoprazole are diarrhea, stomach pain, nausea, constipation.",Lansoprazole,,"Diarrhea, stomach pain, constipation",,,
"If you miss a dose of lansoprazole, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Lansoprazole,,,,,
"Taking too much lansoprazole can cause serious side effects such as kidney problems and overgrowth of Clostridium difficile (C. diff) in the intestines. Symptoms may include watery diarrhea that doesn't go away, severe stomach pain, fever, or blood in the stool.",Lansoprazole,Kidney,"Diarrhea, severe abdominal pain, fever",,,
"The key to lansoprazole's effectiveness lies in its ability to target the H+, K+-ATPase enzyme, a key enzyme in the final step of acid secretion in the parietal cells. By inhibiting this enzyme, lansoprazole effectively reduces the acid produced in the stomach.",Lansoprazole,Stomach,,,,
"Store lansoprazole in a cool, dry place, away from light and moisture.",Lansoprazole,,,,,
"Lansoprazole is a proton pump inhibitor (PPI) that reduces acid production by blocking the action of the proton pump in the parietal cells of the stomach. It is used to treat GERD, peptic ulcers, Zollinger-Ellison syndrome, and other acid-related conditions.",Lansoprazole,Stomach,"GERD, peptic ulcer, Zollinger-Ellison syndrome",,Proton pump inhibitors (PPIs),
Alprazolam is a benzodiazepine class medication used to treat anxiety and panic disorders.,Alprazolam,Brain,"Anxiety, panic disorder",,Benzodiazepine,
"Alprazolam is available in tablet and oral solution form. The dosage and method of administration depend on the patient's age, weight, and severity of the disease.",Alprazolam,,,,,
"Alprazolam abuse can lead to overdose, addiction, or other serious conditions. Therefore, only the person for whom it was prescribed should take the medication.",Alprazolam,,,,,
"Some common side effects of alprazolam are shallow breathing, a seizure, double vision, dizziness, risk-taking behavior, hallucinations, decreased need for sleep, increased energy, feeling excited or overly talkative, rapid thinking, drowsiness.",Alprazolam,,,,,
"If you miss a dose of Alprazolam, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Alprazolam,,,,,
" Some symptoms of alprazolam overdose to watch out for include: shallow breathing, fainting, confusion, slow heartbeat, extreme drowsiness, dizziness.",Alprazolam,,,,,
"Store alprazolam in a cool, dry place, away from light and moisture.",Alprazolam,,,,,
"Alprazolam is a benzodiazepine class drug that acts on gamma-aminobutyric acid receptors in the brain to reduce the excitability of nerve cells. It is used to treat anxiety, panic disorder, and other anxiety-related conditions.",Alprazolam,Brain,"Anxiety, panic disorder",Gamma-aminobutyric acid,Benzodiazepine,
Atorvastatin is a statin class of medication used to lower cholesterol and triglyceride levels in the blood.,Atorvastatin,Liver,"High cholesterol, heart disease",,Statins,
"Atorvastatin is available in tablet form. The dosage and method of administration depend on the patient's age, weight, and blood cholesterol levels.",Atorvastatin,,,,,
"Some common side effects of atorvastatin are pain, diarrhea, heartburn, nausea, and muscle pain.",Atorvastatin,Liver,,,,
"If you miss a dose of Atorvastatin, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Atorvastatin,,,,,
"Serious side effects of atorvastatin include rhabdomyolysis, liver problems",Atorvastatin,Liver,"Rhabdomyolysis, liver problems",,,
"Store atorvastatin in a cool, dry place, away from light and moisture.",Atorvastatin,,,,,
"Atorvastatin is a statin drug that works by reducing cholesterol production in the liver. It helps reduce the risk of heart disease by lowering LDL cholesterol (""bad"" cholesterol) and increasing HDL cholesterol (""good"" cholesterol).",Atorvastatin,Liver,"High cholesterol, heart disease",,Statins,
Labetalol is a beta blocker used to control high blood pressure. It works on the heart rate and blood vessels to lower blood pressure.,Labetalol,Heart,High blood pressure,,Beta blockers,
"Labetalol is available in tablet form. The dosage and method of administration depend on the patient's age, weight, and severity of the disease.",Labetalol,,,,,
" Some common side effects of labetalol are nausea, stomach upset, headache, heartburn, indigestion, dizziness, bad taste in the mouth, weakness.",Labetalol,,Heart disease,,,
"If you miss a dose of labetalol, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Labetalol,,,,,
"Store labetalol in a cool, dry place, away from light and moisture.",Labetalol,,,,,
"Labetalol is a beta blocker that acts on beta-adrenergic receptors in the heart and blood vessels. It reduces the effects of the hormones epinephrine and norepinephrine, lowering heart rate and blood pressure. It is used to treat high blood pressure, irregular heartbeat, and headaches.",Labetalol,Heart,"High blood pressure, irregular heartbeat, headache","Epinephrine, norepinephrine",Beta blockers,
"Metformin is a biguanide class of medication used to control type 2 diabetes. It lowers blood sugar levels by reducing glucose production in the liver, reducing glucose absorption from the intestines, and increasing glucose utilization in cells.",Metformin,Liver,Type 2 diabetes,Insulin,Biguanide,
"Metformin is available in tablet form. It is usually taken once or twice a day with food. The dosage and method of administration depend on the patient's age, weight, and blood sugar level.",Metformin,,,,,
"Metformin is used to treat type 2 diabetes. It works by restoring your body's response to insulin. It also reduces the amount of sugar your liver makes, which your stomach or intestines absorb.",Metformin,"Stomach, liver",Type 2 diabetes,,,
"Some common side effects of metformin are nausea, vomiting, diarrhea, upset stomach, fever and chills, painful urination, nervousness, weakness, metallic taste, a general feeling of discomfort, shortness of breath, muscle pain and cramps, loss of appetite, cool pale skin, anxiety, confusion, cold sweats, headache, increased sweating, difficulty speaking, tremors.",Metformin,,"Fever, muscle pain",,,
"If you miss a dose of metformin, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Metformin,,,,,
" If you experience shallow breathing, chills, slow heartbeat, and yellowing of the eyes after taking an overdose of metformin, you must consult a doctor.",Metformin,,,,,Doctor
"Keep metformin tablets away from heat, direct sunlight, moisture, and cold temperatures. Store them in a closed container at room temperature, out of the reach of children.",Metformin,,,,,
"Metformin is a long-term medication. Thus, some people have to take the medication forever. Moreover, the results depend on the severity of the condition.",Metformin,,,,,Medicine
Metformin is a biguanide class drug used to control type 2 diabetes. It lowers blood sugar levels by increasing the effectiveness of the hormone insulin aspart and reducing glucose production in the liver.,Metformin,Liver,Type 2 diabetes,Insulin,Biguanide,
"Metformin starts working within a week of treatment. However, it does not dramatically lower your blood sugar levels. Depending on your dosage, it takes about 5-6 days to see results.",Metformin,,,,,Medicine
Insulin is a hormone that controls blood sugar levels. It is used to control type 1 diabetes and in some cases type 2 diabetes.,Insulin aspart,,Diabetes,Insulin,,
"Insulin aspart is available as an injection. It is given under the skin or into a vein. The dosage and method of administration depend on the patient's age, weight, and blood sugar level.",Insulin aspart,,,,,
"Some common side effects of insulin are hypoglycemia, lipodystrophy, weight gain, peripheral edema.",Insulin aspart,,"Peripheral edema, hypoglycemia, lipodystrophy,",,,
You should take insulin injections as advised by a registered doctor.,Insulin aspart,,,,,Registered physician
"Store insulin aspart in a refrigerator at 2°C to 8°C. Do not freeze. Insulin for immediate use does not need to be refrigerated, try to keep it in a cool place and away from heat and light. Used insulin can be kept at room temperature for one month.",Insulin aspart,,,,,
"Insulin is a hormone secreted by the pancreas. It helps glucose enter cells and controls blood sugar levels. In type 1 diabetes, the pancreas cannot produce enough insulin, so patients have to take insulin aspart injections.",Insulin aspart,Pancreas,Diabetes,Insulin,,
Glimepiride is a sulfonylurea class drug used to control type 2 diabetes. It lowers blood sugar levels by increasing the release of insulin aspart from the pancreas.,Glimepiride,Pancreas,Type 2 diabetes,Insulin,Sulfonylurea,
A doctor's prescription is always required to purchase glimepiride.,Glimepiride,,,,," Doctor, prescription"
"Glimepiride is available in tablet form. It is usually taken once a day. The dosage and method of administration depend on the patient's age, weight, and blood sugar level.",Glimepiride,,,,,
"Glimepiride lowers blood sugar levels by stimulating the pancreas to produce insulin aspart, which is needed to break down sugar in the body and lower blood sugar levels.",Glimepiride,Pancreas,,Insulin aspart,,
"Some common side effects of glimepiride are headache, low blood sugar, nausea, weight gain, and low blood sugar levels (hypoglycemia).",Glimepiride,,,,,
"If you miss a dose of glimepiride, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Glimepiride,,,,,
